COTE;SURFACE;VOLUME
142.05;3.78;77305
142.06;3.8;77760.2
142.07;3.81;78215.4
142.08;3.83;78670.6
142.09;3.85;79125.8
142.1;3.87;79581
142.11;3.88;80036.2
142.12;3.9;80491.4
142.13;3.92;80946.6
142.14;3.93;81401.8
142.15;3.95;81857
142.16;3.97;82312.2
142.17;3.98;82767.4
142.18;4;83222.6
142.19;4.02;83677.8
142.2;4.03;84133
142.21;4.05;84588.2
142.22;4.07;85043.4
142.23;4.09;85498.6
142.24;4.1;85953.8
142.25;4.12;86409
142.26;4.14;86864.2
142.27;4.15;87319.4
142.28;4.17;87774.6
142.29;4.19;88229.8
142.3;4.2;88685
142.31;4.22;89140.2
142.32;4.24;89595.4
142.33;4.26;90050.6
142.34;4.27;90505.8
142.35;4.29;90961
142.36;4.31;91416.2
142.37;4.32;91871.4
142.38;4.34;92326.6
142.39;4.36;92781.8
142.4;4.37;93237
142.41;4.39;93692.2
142.42;4.41;94147.4
142.43;4.42;94602.6
142.44;4.44;95057.8
142.45;4.46;95513
142.46;4.48;95968.2
142.47;4.49;96423.4
142.48;4.51;96878.6
142.49;4.53;97333.8
142.5;4.54;97789
142.51;4.56;98244.2
142.52;4.58;98699.4
142.53;4.59;99154.6
142.54;4.61;99609.8
142.55;4.63;100065
142.56;4.65;100520.2
142.57;4.66;100975.4
142.58;4.68;101430.6
142.59;4.7;101885.8
142.6;4.71;102341
142.61;4.73;102796.2
142.62;4.75;103251.4
142.63;4.76;103706.6
142.64;4.78;104161.8
142.65;4.8;104617
142.66;4.81;105072.2
142.67;4.83;105527.4
142.68;4.85;105982.6
142.69;4.87;106437.8
142.7;4.88;106893
142.71;4.9;107348.2
142.72;4.92;107803.4
142.73;4.93;108258.6
142.74;4.95;108713.8
142.75;4.97;109169
142.76;4.98;109624.2
142.77;5;110079.4
142.78;5.02;110534.6
142.79;5.04;110989.8
142.8;5.05;111445
142.81;5.07;111900.2
142.82;5.09;112355.4
142.83;5.1;112810.6
142.84;5.12;113265.8
142.85;5.14;113721
142.86;5.15;114176.2
142.87;5.17;114631.4
142.88;5.19;115086.6
142.89;5.21;115541.8
142.9;5.22;115997
142.91;5.24;116452.2
142.92;5.26;116907.4
142.93;5.27;117362.6
142.94;5.29;117817.8
142.95;5.31;118273
142.96;5.32;118728.2
142.97;5.34;119183.4
142.98;5.36;119638.6
142.99;5.37;120093.8
143;5.39;120549
143.01;5.4;121128.55
143.02;5.41;121708.1
143.03;5.42;122287.65
143.04;5.42;122867.2
143.05;5.43;123446.75
143.06;5.44;124026.3
143.07;5.45;124605.85
143.08;5.46;125185.4
143.09;5.46;125764.95
143.1;5.47;126344.5
143.11;5.48;126924.05
143.12;5.49;127503.6
143.13;5.5;128083.15
143.14;5.5;128662.7
143.15;5.51;129242.25
143.16;5.52;129821.8
143.17;5.53;130401.35
143.18;5.54;130980.9
143.19;5.54;131560.45
143.2;5.55;132140
143.21;5.56;132719.55
143.22;5.57;133299.1
143.23;5.58;133878.65
143.24;5.58;134458.2
143.25;5.59;135037.75
143.26;5.6;135617.3
143.27;5.61;136196.85
143.28;5.62;136776.4
143.29;5.62;137355.95
143.3;5.63;137935.5
143.31;5.64;138515.05
143.32;5.65;139094.6
143.33;5.66;139674.15
143.34;5.66;140253.7
143.35;5.67;140833.25
143.36;5.68;141412.8
143.37;5.69;141992.35
143.38;5.7;142571.9
143.39;5.7;143151.45
143.4;5.71;143731
143.41;5.72;144310.55
143.42;5.73;144890.1
143.43;5.74;145469.65
143.44;5.74;146049.2
143.45;5.75;146628.75
143.46;5.76;147208.3
143.47;5.77;147787.85
143.48;5.78;148367.4
143.49;5.78;148946.95
143.5;5.79;149526.5
143.51;5.8;150106.05
143.52;5.81;150685.6
143.53;5.82;151265.15
143.54;5.82;151844.7
143.55;5.83;152424.25
143.56;5.84;153003.8
143.57;5.85;153583.35
143.58;5.86;154162.9
143.59;5.86;154742.45
143.6;5.87;155322
143.61;5.88;155901.55
143.62;5.89;156481.1
143.63;5.9;157060.65
143.64;5.9;157640.2
143.65;5.91;158219.75
143.66;5.92;158799.3
143.67;5.93;159378.85
143.68;5.94;159958.4
143.69;5.94;160537.95
143.7;5.95;161117.5
143.71;5.96;161697.05
143.72;5.97;162276.6
143.73;5.98;162856.15
143.74;5.98;163435.7
143.75;5.99;164015.25
143.76;6;164594.8
143.77;6.01;165174.35
143.78;6.02;165753.9
143.79;6.02;166333.45
143.8;6.03;166913
143.81;6.04;167492.55
143.82;6.05;168072.1
143.83;6.06;168651.65
143.84;6.06;169231.2
143.85;6.07;169810.75
143.86;6.08;170390.3
143.87;6.09;170969.85
143.88;6.1;171549.4
143.89;6.1;172128.95
143.9;6.11;172708.5
143.91;6.12;173288.05
143.92;6.13;173867.6
143.93;6.14;174447.15
143.94;6.14;175026.7
143.95;6.15;175606.25
143.96;6.16;176185.8
143.97;6.17;176765.35
143.98;6.18;177344.9
143.99;6.18;177924.45
144;6.19;178504
144.01;6.2;179162.3
144.02;6.21;179820.6
144.03;6.21;180478.9
144.04;6.22;181137.2
144.05;6.23;181795.5
144.06;6.24;182453.8
144.07;6.25;183112.1
144.08;6.25;183770.4
144.09;6.26;184428.7
144.1;6.27;185087
144.11;6.28;185745.3
144.12;6.28;186403.6
144.13;6.29;187061.9
144.14;6.3;187720.2
144.15;6.31;188378.5
144.16;6.32;189036.8
144.17;6.32;189695.1
144.18;6.33;190353.4
144.19;6.34;191011.7
144.2;6.35;191670
144.21;6.35;192328.3
144.22;6.36;192986.6
144.23;6.37;193644.9
144.24;6.38;194303.2
144.25;6.39;194961.5
144.26;6.39;195619.8
144.27;6.4;196278.1
144.28;6.41;196936.4
144.29;6.42;197594.7
144.3;6.42;198253
144.31;6.43;198911.3
144.32;6.44;199569.6
144.33;6.45;200227.9
144.34;6.46;200886.2
144.35;6.46;201544.5
144.36;6.47;202202.8
144.37;6.48;202861.1
144.38;6.49;203519.4
144.39;6.49;204177.7
144.4;6.5;204836
144.41;6.51;205494.3
144.42;6.52;206152.6
144.43;6.52;206810.9
144.44;6.53;207469.2
144.45;6.54;208127.5
144.46;6.55;208785.8
144.47;6.56;209444.1
144.48;6.56;210102.4
144.49;6.57;210760.7
144.5;6.58;211419
144.51;6.59;212077.3
144.52;6.59;212735.6
144.53;6.6;213393.9
144.54;6.61;214052.2
144.55;6.62;214710.5
144.56;6.63;215368.8
144.57;6.63;216027.1
144.58;6.64;216685.4
144.59;6.65;217343.7
144.6;6.66;218002
144.61;6.66;218660.3
144.62;6.67;219318.6
144.63;6.68;219976.9
144.64;6.69;220635.2
144.65;6.7;221293.5
144.66;6.7;221951.8
144.67;6.71;222610.1
144.68;6.72;223268.4
144.69;6.73;223926.7
144.7;6.73;224585
144.71;6.74;225243.3
144.72;6.75;225901.6
144.73;6.76;226559.9
144.74;6.77;227218.2
144.75;6.77;227876.5
144.76;6.78;228534.8
144.77;6.79;229193.1
144.78;6.8;229851.4
144.79;6.8;230509.7
144.8;6.81;231168
144.81;6.82;231826.3
144.82;6.83;232484.6
144.83;6.84;233142.9
144.84;6.84;233801.2
144.85;6.85;234459.5
144.86;6.86;235117.8
144.87;6.87;235776.1
144.88;6.87;236434.4
144.89;6.88;237092.7
144.9;6.89;237751
144.91;6.9;238409.3
144.92;6.91;239067.6
144.93;6.91;239725.9
144.94;6.92;240384.2
144.95;6.93;241042.5
144.96;6.94;241700.8
144.97;6.94;242359.1
144.98;6.95;243017.4
144.99;6.96;243675.7
145;6.97;244334
145.01;6.98;245104.47
145.02;7;245874.94
145.03;7.01;246645.41
145.04;7.03;247415.88
145.05;7.04;248186.35
145.06;7.05;248956.82
145.07;7.07;249727.29
145.08;7.08;250497.76
145.09;7.1;251268.23
145.1;7.11;252038.7
145.11;7.13;252809.17
145.12;7.14;253579.64
145.13;7.16;254350.11
145.14;7.17;255120.58
145.15;7.19;255891.05
145.16;7.2;256661.52
145.17;7.22;257431.99
145.18;7.23;258202.46
145.19;7.24;258972.93
145.2;7.26;259743.4
145.21;7.27;260513.87
145.22;7.29;261284.34
145.23;7.3;262054.81
145.24;7.32;262825.28
145.25;7.33;263595.75
145.26;7.35;264366.22
145.27;7.36;265136.69
145.28;7.38;265907.16
145.29;7.39;266677.63
145.3;7.41;267448.1
145.31;7.42;268218.57
145.32;7.43;268989.04
145.33;7.45;269759.51
145.34;7.46;270529.98
145.35;7.48;271300.45
145.36;7.49;272070.92
145.37;7.51;272841.39
145.38;7.52;273611.86
145.39;7.54;274382.33
145.4;7.55;275152.8
145.41;7.57;275923.27
145.42;7.58;276693.74
145.43;7.6;277464.21
145.44;7.61;278234.68
145.45;7.62;279005.15
145.46;7.64;279775.62
145.47;7.65;280546.09
145.48;7.67;281316.56
145.49;7.68;282087.03
145.5;7.7;282857.5
145.51;7.71;283627.97
145.52;7.73;284398.44
145.53;7.74;285168.91
145.54;7.76;285939.38
145.55;7.77;286709.85
145.56;7.78;287480.32
145.57;7.8;288250.79
145.58;7.81;289021.26
145.59;7.83;289791.73
145.6;7.84;290562.2
145.61;7.86;291332.67
145.62;7.87;292103.14
145.63;7.89;292873.61
145.64;7.9;293644.08
145.65;7.92;294414.55
145.66;7.93;295185.02
